frame,track_id,x,y,w,h,cx,cy
24,7,107,118,22,13,118,124
24,8,244,102,16,16,252,110
25,1,244,246,18,17,253,254
25,2,96,176,24,16,108,184
25,3,48,176,22,14,59,183
25,4,454,174,21,14,465,181
25,5,170,174,22,16,181,182
25,6,528,170,22,16,539,178
25,7,107,118,22,13,118,124
25,8,244,102,16,16,252,110
26,1,244,246,18,17,253,254
26,2,96,176,24,16,108,184
26,3,48,176,22,14,59,183
26,4,454,174,21,14,465,181
26,5,170,174,22,16,181,182
26,6,528,170,22,16,539,178
26,7,107,118,22,13,118,124
26,8,244,102,16,16,252,110
27,1,244,246,18,17,253,254
27,2,96,176,24,16,108,184
27,3,48,176,22,14,59,183
27,4,454,174,21,14,465,181
27,5,170,174,22,16,181,182
27,6,528,170,22,16,539,178
27,7,107,118,22,13,118,124
27,8,244,102,16,16,252,110
28,1,244,246,18,17,253,254
28,2,96,176,24,16,108,184
28,3,48,176,22,14,59,183
28,4,454,174,21,14,465,181
28,5,170,174,22,16,181,182
28,6,528,170,22,16,539,178
28,7,107,118,22,13,118,124
28,8,244,102,16,16,252,110
29,1,244,246,18,17,253,254
29,2,96,176,24,16,108,184
29,3,48,176,22,14,59,183
29,4,454,174,21,14,465,181
29,5,170,174,22,16,181,182
29,6,528,170,22,16,539,178
29,7,107,118,22,13,118,124
29,8,244,102,16,16,252,110
30,1,244,246,18,17,253,254
30,2,96,176,24,16,108,184
30,3,48,176,22,14,59,183
30,4,454,174,21,14,465,181
30,5,170,174,22,16,181,182
30,6,528,170,22,16,539,178
30,7,107,118,22,13,118,124
30,8,244,102,16,16,252,110
31,1,244,246,18,17,253,254
31,2,96,176,24,16,108,184
31,3,48,176,22,14,59,183
31,4,454,174,21,14,465,181
31,5,170,174,22,16,181,182
31,6,528,170,22,16,539,178
31,7,107,118,22,13,118,124
31,8,244,102,16,16,252,110
32,1,244,246,18,17,253,254
32,2,96,176,24,16,108,184
32,3,48,176,22,14,59,183
32,4,454,174,21,14,465,181
32,5,170,174,22,16,181,182
32,6,528,170,22,16,539,178
32,7,107,118,22,13,118,124
32,8,244,102,16,16,252,110
32,9,383,248,14,14,390,255
33,1,244,246,18,17,253,254
33,2,96,176,24,16,108,184
33,3,48,176,22,14,59,183
33,4,454,174,21,14,465,181
33,5,170,174,22,16,181,182
33,6,528,170,22,16,539,178
33,7,107,118,22,13,118,124
33,8,244,102,16,16,252,110
33,9,383,248,14,14,390,255
34,1,244,246,18,17,253,254
34,2,96,176,24,16,108,184
34,3,48,176,22,14,59,183
34,4,454,174,21,14,465,181
34,5,170,174,22,16,181,182
34,6,528,170,22,16,539,178
34,7,107,118,22,13,118,124
34,8,244,102,16,16,252,110
34,9,383,248,14,14,390,255
35,1,244,246,18,17,253,254
35,2,96,176,24,16,108,184
35,3,48,176,22,14,59,183
35,4,454,174,21,14,465,181
35,5,170,174,22,16,181,182
35,6,528,170,22,16,539,178
35,7,107,118,22,13,118,124
35,8,244,102,16,16,252,110
35,9,383,248,14,14,390,255
36,1,244,246,18,17,253,254
36,2,96,176,24,16,108,184
36,3,48,176,22,14,59,183
36,4,454,174,21,14,465,181
36,5,170,174,22,16,181,182
36,6,528,170,22,16,539,178
36,7,107,118,22,13,118,124
36,8,244,102,16,16,252,110
36,9,383,248,14,14,390,255
