frame,x,y,w,h,cx,cy
370,278,138,22,16,289,146
370,531,121,17,9,539,125
370,164,190,54,48,191,214
370,322,157,26,19,335,166
370,256,129,19,14,265,136
371,210,169,31,22,225,180
371,251,274,67,61,284,304
371,288,227,53,40,314,247
371,278,138,22,16,289,146
371,574,125,28,17,588,133
371,322,157,26,19,335,166
371,531,121,17,9,539,125
371,165,190,53,48,191,214
371,256,129,19,13,265,135
371,165,190,53,48,191,214
372,248,295,77,63,286,326
372,206,172,34,24,223,184
372,287,239,56,41,315,259
372,254,130,20,13,264,136
372,570,124,25,15,582,131
372,323,161,27,19,336,170
372,277,139,22,17,288,147
372,527,117,17,12,535,123
372,157,197,57,52,185,223
372,158,197,57,52,186,223
373,247,305,81,53,287,331
373,206,175,33,23,222,186
373,324,162,27,20,337,172
373,567,124,25,15,579,131
373,286,244,58,44,315,266
373,154,200,59,54,183,227
373,277,141,23,17,288,149
373,253,130,20,14,263,137
373,525,113,18,15,534,120
373,526,117,17,11,534,122
374,324,163,28,20,338,173
374,203,177,35,25,220,189
374,275,141,24,17,287,149
374,287,251,59,46,316,274
374,246,319,83,37,287,337
374,564,124,25,14,576,131
374,524,111,18,16,533,119
374,252,131,20,14,262,138
374,151,204,59,55,180,231
374,319,140,22,13,330,146
374,506,108,14,8,513,112
375,324,163,28,20,338,173
375,203,177,35,25,220,189
375,275,141,24,17,287,149
375,287,251,59,46,316,274
375,246,319,83,37,287,337
375,564,124,25,14,576,131
375,524,111,19,16,533,119
375,252,131,20,14,262,138
375,151,204,59,55,180,231
375,506,108,14,8,513,112
375,319,140,22,13,330,146
376,324,163,28,20,338,173
376,203,177,35,24,220,189
376,275,141,24,17,287,149
376,287,251,59,46,316,274
376,246,319,83,37,287,337
376,564,124,25,14,576,131
376,524,111,19,16,533,119
376,151,204,59,55,180,231
376,252,131,20,14,262,138
376,506,108,14,8,513,112
377,324,163,28,20,338,173
377,203,177,35,24,220,189
377,275,141,24,17,287,149
377,287,251,60,46,317,274
377,246,319,83,37,287,337
377,565,124,25,14,577,131
377,524,111,19,16,533,119
377,252,131,20,15,262,138
377,151,204,59,55,180,231
377,506,108,14,8,513,112
377,319,140,22,13,330,146
378,560,123,24,14,572,130
378,324,166,30,21,339,176
378,199,181,36,24,217,193
378,275,144,24,17,287,152
378,284,264,66,54,317,291
378,143,211,64,61,175,241
378,251,131,20,15,261,138
378,522,113,17,14,530,120
378,319,142,22,14,330,149
379,275,144,24,19,287,153
379,326,168,29,22,340,179
379,198,183,36,27,216,196
379,283,272,69,56,317,300
379,558,123,24,13,570,129
379,251,132,21,15,261,139
379,138,215,68,64,172,247
379,521,112,16,14,529,119
380,196,186,37,27,214,199
380,275,145,23,18,286,154
380,326,170,31,22,341,181
380,555,123,24,14,567,130
380,283,280,72,61,319,310
380,134,220,68,66,168,253
380,250,133,21,15,260,140
380,520,111,15,14,527,118
380,320,144,22,14,331,151
381,196,186,37,27,214,199
381,275,145,23,18,286,154
381,326,170,31,22,341,181
381,555,123,24,14,567,130
381,283,280,72,61,319,310
381,134,220,68,66,168,253
381,520,111,15,14,527,118
381,250,133,21,15,260,140
381,320,144,22,14,331,151
382,196,186,37,27,214,199
382,275,145,23,18,286,154
382,326,170,31,22,341,181
382,555,123,24,14,567,130
382,283,280,72,61,319,310
382,134,220,68,66,168,253
382,520,111,15,14,527,118
382,250,133,21,15,260,140
382,320,144,22,14,331,151
383,196,186,37,27,214,199
383,275,145,23,18,286,154
383,326,170,31,22,341,181
383,555,123,23,14,566,130
383,283,280,72,61,319,310
383,134,220,68,66,168,253
383,520,111,15,14,527,118
383,250,133,21,15,260,140
383,320,144,22,14,331,151
384,193,191,38,28,212,205
384,327,174,32,23,343,185
384,551,121,23,14,562,128
384,274,148,24,19,286,157
384,281,300,80,58,321,329
384,122,229,75,74,159,266
384,248,136,21,15,258,143
384,518,111,15,14,525,118
384,319,144,24,15,331,151
385,190,193,40,29,210,207
385,281,311,82,47,322,334
385,329,176,32,24,345,188
385,273,148,24,19,285,157
385,549,121,22,13,560,127
385,116,235,78,78,155,274
385,319,146,25,16,331,154
385,248,136,20,15,258,143
385,517,110,15,14,524,117
386,272,149,25,19,284,158
386,187,197,41,30,207,212
386,320,147,24,16,332,155
386,329,179,33,23,345,190
386,547,121,22,13,558,127
386,110,240,82,81,151,280
386,280,323,86,34,323,340
386,245,137,22,15,256,144
386,516,109,14,14,523,116
387,272,149,25,19,284,158
387,188,197,41,30,208,212
387,320,147,24,16,332,155
387,329,179,34,23,346,190
387,547,121,22,13,558,127
387,110,240,82,82,151,281
387,280,323,86,34,323,340
387,245,137,22,15,256,144
387,516,109,14,14,523,116
388,188,197,41,30,208,212
388,272,149,25,19,284,158
388,320,147,24,16,332,155
388,329,179,33,23,345,190
388,547,121,22,13,558,127
388,110,240,82,82,151,281
388,281,323,86,34,324,340
388,245,137,22,15,256,144
388,516,110,14,14,523,117
389,272,149,25,19,284,158
389,188,197,41,30,208,212
389,320,147,24,16,332,155
389,329,179,33,23,345,190
389,547,121,21,13,557,127
389,110,240,82,81,151,280
389,281,324,86,34,324,341
389,245,136,22,15,256,143
389,516,109,14,14,523,116
390,332,183,35,26,349,196
390,272,151,24,20,284,161
390,182,204,43,31,203,219
390,96,254,88,90,140,299
390,321,149,24,16,333,157
390,543,120,21,13,553,126
390,244,138,22,17,255,146
390,513,109,15,14,520,116
391,180,207,44,32,202,223
391,271,152,25,21,283,162
391,332,185,36,26,350,198
391,512,110,15,13,519,116
391,541,120,22,13,552,126
391,89,261,93,92,135,307
391,321,149,25,17,333,157
391,243,138,22,17,254,146
391,600,142,28,15,614,149
392,178,209,45,35,200,226
392,270,153,26,21,283,163
392,333,188,37,27,351,201
392,511,110,15,12,518,116
392,540,120,22,12,551,126
392,79,269,99,89,128,313
392,243,139,23,17,254,147
392,596,141,27,15,609,148
392,321,151,26,17,334,159
393,178,209,45,35,200,226
393,270,153,26,21,283,163
393,333,188,37,27,351,201
393,511,110,15,12,518,116
393,540,120,22,12,551,126
393,79,269,99,89,128,313
393,243,139,23,17,254,147
393,596,141,27,15,609,148
393,321,151,26,17,334,159
394,178,209,45,35,200,226
394,270,153,26,21,283,163
394,333,189,37,27,351,202
394,511,110,15,12,518,116
394,540,120,22,12,551,126
394,79,269,99,89,128,313
394,243,139,23,17,254,147
394,596,141,27,15,609,148
394,321,151,26,17,334,159
395,178,209,45,35,200,226
395,270,153,26,21,283,163
395,333,189,37,27,351,202
395,511,110,15,12,518,116
395,540,120,22,12,551,126
395,79,269,99,89,128,313
395,243,139,23,17,254,147
395,596,141,27,15,609,148
395,321,151,26,17,334,159
396,336,194,38,28,355,208
396,269,156,27,22,282,167
396,171,217,48,35,195,234
396,62,288,108,68,116,322
396,508,109,16,13,516,115
396,535,119,22,12,546,125
396,322,153,27,17,335,161
396,239,142,24,17,251,150
396,589,139,25,15,601,146
397,338,196,39,30,357,211
397,168,222,50,38,193,241
397,268,158,28,22,282,169
397,533,119,23,11,544,124
397,508,109,15,12,515,115
397,58,299,107,60,111,329
397,239,143,24,17,251,151
397,322,154,27,17,335,162
397,585,139,25,14,597,146
398,267,159,29,22,281,170
398,164,225,51,40,189,245
398,339,200,40,31,359,215
398,532,119,22,11,543,124
398,323,155,27,18,336,164
398,580,137,27,14,593,144
398,237,144,25,17,249,152
398,53,311,107,47,106,334
398,506,108,16,13,514,114
398,262,120,23,11,273,125
399,267,159,29,22,281,170
399,164,225,51,40,189,245
399,339,200,40,31,359,215
399,532,119,22,11,543,124
399,323,155,27,18,336,164
399,580,137,27,14,593,144
399,237,144,25,17,249,152
399,53,311,107,47,106,334
399,506,108,16,13,514,114
399,262,120,23,11,273,125
400,267,159,29,22,281,170
400,164,225,51,40,189,245
400,339,200,40,31,359,215
400,532,119,22,11,543,124
400,323,155,27,18,336,164
400,580,137,27,14,593,144
400,237,144,25,17,249,152
400,53,311,107,47,106,334
400,506,108,16,13,514,114
400,262,120,23,11,273,125
401,267,159,29,22,281,170
401,165,225,51,40,190,245
401,532,119,22,11,543,124
401,339,200,40,31,359,215
401,323,155,27,18,336,164
401,580,137,27,14,593,144
401,237,144,25,17,249,152
401,53,311,107,47,106,334
401,506,108,16,13,514,114
401,262,120,23,11,273,125
402,342,207,42,33,363,223
402,266,162,30,24,281,174
402,157,236,55,43,184,257
402,323,157,28,20,337,167
402,235,145,26,19,248,154
402,50,338,95,18,97,347
402,529,118,21,11,539,123
402,576,136,22,14,587,143
402,261,120,24,9,273,124
403,342,210,46,35,365,227
403,266,164,30,24,281,176
403,324,159,28,20,338,169
403,154,241,56,45,182,263
403,234,146,26,19,247,155
403,575,135,20,14,585,142
403,527,118,21,11,537,123
404,324,161,29,19,338,170
404,265,165,31,25,280,177
404,345,214,46,35,368,231
404,149,246,59,48,178,270
404,526,117,20,10,536,122
404,233,147,26,18,246,156
404,573,135,19,13,582,141
405,324,161,29,19,338,170
405,265,165,31,25,280,177
405,345,214,46,35,368,231
405,149,246,59,48,178,270
405,526,117,20,10,536,122
405,233,147,26,18,246,156
405,573,135,19,13,582,141
406,324,161,29,19,338,170
406,265,165,31,25,280,177
406,345,214,46,35,368,231
406,149,246,59,48,178,270
406,526,117,20,10,536,122
406,233,147,26,18,246,156
406,573,135,19,13,582,141
407,324,161,29,19,338,170
407,265,165,31,25,280,177
407,345,214,46,35,368,231
407,149,246,59,48,178,270
407,526,117,20,10,536,122
407,233,147,26,18,246,156
407,573,135,19,13,582,141
408,349,223,50,37,374,241
408,264,168,32,26,280,181
408,325,164,32,20,341,174
408,140,260,65,52,172,286
408,230,149,27,19,243,158
408,523,116,23,11,534,121
409,263,171,33,26,279,184
409,350,227,53,40,376,247
409,326,165,32,22,342,176
409,229,151,27,19,242,160
409,134,267,69,54,168,294
409,521,116,23,11,532,121
409,618,134,20,10,628,139
409,559,132,22,12,570,138
410,263,173,33,27,279,186
410,352,232,55,42,379,253
410,327,167,32,21,343,177
410,228,151,28,20,242,161
410,520,115,23,11,531,120
410,128,275,71,57,163,303
411,263,173,33,27,279,186
411,352,232,55,42,379,253
411,327,167,32,21,343,177
411,228,151,28,20,242,161
411,520,115,23,11,531,120
411,128,275,71,57,163,303
412,263,173,33,27,279,186
412,352,232,55,42,379,253
412,327,167,32,21,343,177
412,228,151,28,20,242,161
412,520,115,23,11,531,120
412,128,275,71,57,163,303
413,263,173,33,27,279,186
413,352,232,55,42,379,253
413,327,167,31,21,342,177
413,228,151,28,20,242,161
413,520,115,23,11,531,120
413,128,275,71,57,163,303
414,261,176,35,29,278,190
414,328,171,33,22,344,182
414,357,243,59,46,386,266
414,227,154,27,20,240,164
414,609,132,21,11,619,137
414,114,293,78,64,153,325
414,517,115,22,10,528,120
415,261,178,35,30,278,193
415,328,173,34,22,345,184
415,361,249,62,48,392,273
415,606,131,22,11,617,136
415,225,155,28,21,239,165
415,108,304,82,54,149,331
415,548,129,21,13,558,135
415,516,115,17,10,524,120
416,260,181,36,30,278,196
416,364,257,64,49,396,281
416,329,174,34,23,346,185
416,603,131,21,11,613,136
416,223,156,30,22,238,167
416,547,127,19,14,556,134
416,101,316,85,42,143,337
416,100,315,87,43,143,336
417,260,181,36,30,278,196
417,364,257,64,49,396,281
417,329,174,34,23,346,185
417,603,131,21,11,613,136
417,223,156,30,22,238,167
417,547,127,19,14,556,134
417,101,316,85,42,143,337
417,100,315,87,43,143,336
418,260,181,36,30,278,196
418,364,257,64,49,396,281
418,329,174,35,23,346,185
418,603,131,21,11,613,136
418,223,156,30,22,238,167
418,547,127,19,14,556,134
418,101,316,85,42,143,337
418,100,315,87,43,143,336
418,515,114,17,10,523,119
419,260,181,36,30,278,196
419,364,257,64,49,396,281
419,329,175,35,23,346,186
419,603,131,21,11,613,136
419,547,127,19,14,556,134
419,222,157,30,20,237,167
419,101,316,85,42,143,337
419,100,315,87,43,143,336
419,515,114,17,10,523,119
420,371,271,70,56,406,299
420,260,186,37,32,278,202
420,331,179,36,23,349,190
420,541,127,20,12,551,133
420,220,159,31,22,235,170
420,598,130,21,10,608,135
420,248,142,13,15,254,149
421,260,188,38,33,279,204
421,375,280,74,59,412,309
421,332,180,38,26,351,193
421,595,129,20,9,605,133
421,540,127,18,11,549,132
421,218,160,32,23,234,171
421,250,125,28,15,264,132
421,218,170,31,14,233,177
422,258,191,40,35,278,208
422,380,289,79,63,419,320
422,332,183,39,26,351,196
422,217,162,32,24,233,174
422,592,129,21,10,602,134
422,508,113,17,10,516,118
422,250,125,28,15,264,132
423,258,191,40,35,278,208
423,380,289,79,63,419,320
423,332,183,39,26,351,196
423,217,162,32,24,233,174
423,592,129,21,10,602,134
423,508,113,17,10,516,118
423,250,125,28,15,264,132
424,258,191,40,35,278,208
424,380,289,79,63,419,320
424,332,183,39,26,351,196
424,217,162,32,24,233,174
424,592,129,21,10,602,134
424,508,113,17,10,516,118
424,250,125,28,15,264,132
425,258,191,40,35,278,208
425,380,289,79,63,419,320
425,332,183,39,26,351,196
425,217,162,32,24,233,174
425,592,129,21,10,602,134
425,508,113,17,10,516,118
425,250,125,27,15,263,132
426,335,188,40,27,355,201
426,214,165,34,24,231,177
426,257,196,42,37,278,214
426,390,309,92,49,436,333
426,586,127,21,10,596,132
426,245,146,10,14,250,153
426,507,112,15,10,514,117
427,337,191,40,27,357,204
427,212,166,34,25,229,178
427,255,199,44,38,277,218
427,397,320,87,38,440,339
427,584,127,21,10,594,132
427,532,124,16,11,540,129
427,244,147,11,14,249,154
428,255,203,45,40,277,223
428,339,194,42,28,360,208
428,211,168,35,26,228,181
428,406,334,77,24,444,346
428,582,127,20,10,592,132
428,529,124,17,11,537,129
428,308,106,14,13,315,112
429,255,203,45,40,277,223
429,339,194,42,28,360,208
429,211,169,35,26,228,182
429,406,334,77,24,444,346
429,582,127,20,10,592,132
429,529,124,17,11,537,129
429,308,106,14,13,315,112
430,255,203,45,40,277,223
430,339,194,42,28,360,208
430,211,168,35,26,228,181
430,406,334,77,24,444,346
430,582,127,20,10,592,132
430,529,124,17,11,537,129
430,308,106,14,13,315,112
431,255,203,45,40,277,223
431,339,194,42,28,360,208
431,211,168,35,26,228,181
431,406,334,77,24,444,346
431,582,127,20,10,592,132
431,529,124,17,11,537,129
431,308,106,14,13,315,112
432,341,200,44,30,363,215
432,254,210,47,42,277,231
432,208,172,35,28,225,186
432,240,150,13,15,246,157
432,245,134,19,12,254,140
433,252,215,50,44,277,237
433,343,203,45,31,365,218
433,206,173,36,28,224,187
433,240,152,12,14,246,159
433,575,125,19,10,584,130
434,344,207,46,32,367,223
434,252,217,51,47,277,240
434,203,176,38,28,222,190
434,237,153,13,15,243,160
434,573,124,19,11,582,129
434,306,107,15,13,313,113
435,344,207,46,32,367,223
435,252,217,51,47,277,240
435,203,176,38,28,222,190
435,238,153,13,15,244,160
435,573,124,18,10,582,129
435,306,107,14,13,313,113
436,344,207,46,32,367,223
436,252,217,51,47,277,240
436,203,176,38,28,222,190
436,237,153,13,15,243,160
436,573,124,19,11,582,129
436,306,108,14,13,313,114
437,344,207,46,32,367,223
437,252,217,51,47,277,240
437,203,176,38,28,222,190
437,237,153,13,15,243,160
437,573,124,19,10,582,129
437,306,107,14,13,313,113
438,250,227,55,50,277,252
438,348,214,51,34,373,231
438,200,180,39,31,219,195
438,235,155,13,16,241,163
438,570,124,17,9,578,128
438,242,137,20,12,252,143
438,305,107,15,14,312,114
438,256,130,17,10,264,135
439,249,231,55,52,276,257
439,350,217,52,37,376,235
439,197,182,41,31,217,197
439,568,124,17,9,576,128
439,233,156,14,17,240,164
439,241,138,21,12,251,144
439,255,130,17,11,263,135
439,305,108,15,14,312,115
440,249,238,58,54,278,265
440,352,222,54,37,379,240
440,196,184,42,33,217,200
440,232,159,15,16,239,167
440,566,124,17,8,574,128
440,304,112,14,11,311,117
440,255,130,17,12,263,136
440,283,112,12,8,289,116
440,239,139,21,11,249,144
441,249,238,58,54,278,265
441,352,222,54,37,379,240
441,196,184,42,33,217,200
441,232,159,15,15,239,166
441,566,124,17,8,574,128
441,255,130,17,12,263,136
441,304,112,14,11,311,117
441,283,112,12,8,289,116
441,239,139,21,11,249,144
442,249,238,58,54,278,265
442,352,222,54,37,379,240
442,196,184,42,33,217,200
442,232,159,15,16,239,167
442,566,124,17,8,574,128
442,255,130,17,12,263,136
442,304,112,14,11,311,117
442,283,112,12,8,289,116
442,239,139,21,11,249,144
443,249,238,58,54,278,265
443,352,222,54,37,379,240
443,196,184,42,33,217,200
443,232,159,15,16,239,167
443,566,124,17,8,574,128
443,255,130,17,12,263,136
443,304,112,14,11,311,117
443,283,112,12,8,289,116
443,239,139,21,11,249,144
444,247,248,62,61,278,278
444,356,231,58,41,385,251
444,192,190,43,33,213,206
444,562,123,16,8,570,127
444,231,161,14,17,238,169
444,281,112,13,9,287,116
444,253,131,18,13,262,137
444,512,119,15,11,519,124
444,303,113,14,10,310,118
444,238,141,21,11,248,146
445,246,255,65,64,278,287
445,359,236,59,42,388,257
445,189,192,44,34,211,209
445,560,122,17,9,568,126
445,237,140,22,13,248,146
445,229,163,15,17,236,171
445,303,114,14,9,310,118
445,280,113,14,8,287,117
445,508,117,15,12,515,123
445,252,132,18,13,261,138
446,243,261,70,68,278,295
446,186,194,46,37,209,212
446,558,121,17,8,566,125
446,361,241,62,44,392,263
446,303,114,14,10,310,119
446,236,141,23,14,247,148
446,507,117,15,12,514,123
446,280,113,14,8,287,117
446,227,165,14,17,234,173
447,243,261,70,68,278,295
447,186,194,46,37,209,212
447,558,121,17,8,566,125
447,361,241,62,44,392,263
447,303,114,14,10,310,119
447,236,141,23,14,247,148
447,507,117,15,12,514,123
447,280,113,14,8,287,117
447,227,165,14,17,234,173
448,243,261,70,68,278,295
448,186,194,46,37,209,212
448,558,121,17,8,566,125
448,361,241,62,44,392,263
448,303,114,14,10,310,119
448,236,141,23,14,247,148
448,507,117,15,12,514,123
448,280,113,14,8,287,117
448,227,165,14,17,234,173
449,243,261,70,68,278,295
449,186,194,46,37,209,212
449,558,121,17,8,566,125
449,361,241,62,44,392,263
449,303,114,14,10,310,119
449,236,141,23,14,247,148
449,507,117,15,12,514,123
449,280,113,14,8,287,117
449,227,165,14,17,234,173
450,242,278,75,76,279,316
450,555,120,16,9,563,124
450,368,254,67,47,401,277
450,234,142,22,14,245,149
450,181,201,48,39,205,220
450,224,168,15,18,231,177
450,250,134,19,13,259,140
450,623,128,15,19,630,137
450,300,113,17,12,308,119
450,504,117,15,12,511,123
450,279,114,13,9,285,118
450,299,107,18,13,308,113
451,370,260,71,50,405,285
451,179,205,49,38,203,224
451,241,287,78,71,280,322
451,552,120,17,9,560,124
451,234,142,22,15,245,149
451,223,169,16,18,231,178
451,249,136,19,11,258,141
451,620,127,19,19,629,136
451,300,113,17,13,308,119
451,279,114,12,9,285,118
452,375,267,73,53,411,293
452,175,208,50,41,200,228
452,239,297,84,61,281,327
452,616,127,23,18,627,136
452,233,145,23,12,244,151
452,552,119,15,9,559,123
452,278,115,13,8,284,119
452,221,171,16,19,229,180
452,248,137,20,12,258,143
452,300,112,16,14,308,119
453,375,267,73,53,411,293
453,175,208,50,41,200,228
453,239,297,84,61,281,327
453,616,127,22,18,627,136
453,233,145,23,12,244,151
453,552,119,16,9,560,123
453,278,115,13,8,284,119
453,221,171,16,19,229,180
453,248,137,20,12,258,143
453,300,112,16,14,308,119
454,374,267,73,53,410,293
454,175,208,50,41,200,228
454,239,297,84,61,281,327
454,616,127,22,18,627,136
454,233,145,23,12,244,151
454,552,119,16,9,560,123
454,278,115,13,8,284,119
454,221,171,16,19,229,180
454,248,137,20,12,258,143
454,300,112,16,13,308,118
455,374,267,73,53,410,293
455,175,208,50,41,200,228
455,239,297,84,61,281,327
455,616,127,22,18,627,136
455,233,145,23,12,244,151
455,552,119,16,9,560,123
455,278,115,13,8,284,119
455,221,171,16,19,229,180
455,247,137,20,12,257,143
455,300,112,16,14,308,119
456,382,284,81,60,422,314
456,169,215,54,44,196,237
456,232,147,23,15,243,154
456,548,119,16,9,556,123
456,610,126,28,17,624,134
456,245,136,21,13,255,142
456,243,320,79,39,282,339
456,277,116,12,7,283,119
457,386,293,86,62,429,324
457,165,219,56,46,193,242
457,245,137,21,13,255,143
457,607,125,29,18,621,134
457,231,146,24,17,243,154
457,546,118,15,9,553,122
457,247,333,72,26,283,346
457,329,111,12,10,335,116
458,392,302,93,56,438,330
458,604,125,28,18,618,134
458,162,224,58,49,191,248
458,245,138,20,12,255,144
458,229,152,24,12,241,158
458,276,116,12,8,282,120
458,328,111,12,9,334,115
458,230,146,24,18,242,155
459,392,302,93,56,438,330
459,604,125,28,18,618,134
459,162,224,58,49,191,248
459,245,138,20,12,255,144
459,229,152,24,12,241,158
459,276,116,12,8,282,120
459,328,111,12,9,334,115
459,230,146,24,18,242,155
460,392,302,93,56,438,330
460,604,125,28,18,618,134
460,162,224,58,49,191,248
460,245,138,20,12,255,144
460,229,152,24,12,241,158
460,276,116,12,8,282,120
460,328,111,12,9,334,115
460,230,146,24,18,242,155
461,392,302,93,56,438,330
461,604,125,28,18,618,134
461,162,224,58,49,191,248
461,245,138,20,12,255,144
461,229,152,24,12,241,158
461,276,116,12,8,282,120
461,328,111,12,9,334,115
462,599,124,28,18,613,133
462,155,233,61,53,185,259
462,227,150,25,15,239,157
462,542,118,16,8,550,122
